name,position
Mohammed Sabo Nanono,Minister of Agriculture and Rural Development
Mustapha Baba Shehuri,Minister of State Agriculture and Rural Development
Sale Mamman,Minister of Power
Godwin Jedi-Agba,Minister of State Power
Zainab Shamsuna Ahmed,"Minister of Finance, Budget and National Planning"
Clem Ikanade Agba,Minister of Budget and National Planning
Ali Isa Pantami,Minister of Communication and Digital Economy
Major General Bashir Salihi Magashi,Minister of Defence
Adamu Adamu,Minister of Education
Emeka Nwajuba,Minister of State for Education
Muhammad Mahmood,Minister of Environment
Sharon Ikeazor,Minister of State Environment
Mohammed Musa Bello,Minister of Federal Capital Territory (FCT)
Ramatu Tijani Aliyu,Minister of State Federal Capital Territory (FCT)
Geoffrey Onyeama,Minister of Foreign Affairs
Zubairu Dada,Minister of State Foreign Affairs
Osagie Ehanire,Minister of Health
Adeleke Mamora,Minister of State for Health
Otunba Adeniyi Adebayo,"Minister of Industry, Trade and Investment"
Maryam Katagum,"Minister of State Industry, Trade and Investment"
Lai Mohammed,Minister of Information and Culture
Rauf Aregbesola,Minister of Interior
Abubakar Malami,Attorney General of the Federation (AGF) and Minister of Justice
Chris Ngige,Minister of Labour and Employment
Festus Keyamo,"Minister of State, Labour"
Godswill Akpabio -,Minister of Niger Delta
Omotayo Alasuadura,Minister of State for Niger Delta
Timipre Silva,Minister of State Petroleum
Babatunde Raji Fashola,Minister of Works and Housing
Abubakar D. Aliyu,Minister of State for Works and Housing
Ogbonnaya Onu,Minister of Science and Technology
Mohammed A. Abdullahi,"Minister of State, Science and Technology"
Olammilekan Adegbite,Minister of Mines and Steel Development
Uchechukwu Ogah,"Minister of State, Mines and Steel Development"
Rotimi Amaechi,Minister of Transportation
Gbemisola Saraki,Minister of State for Transportation
Hadi Sirika,Minister of Aviation
Suleiman Adamu,Minister of Water Resources
Dame Pauline Tallen,Minister of Women Affairs and Social Development
Sunday Dare,Minister of Youth and Sports
Sadiya Umar Faruk,"Minister of Humanitarian Affairs, Disaster Management and Social Development"
Mohammed Maigari Dangyadi -,Minister of Police Affairs
George Akume -,Minister of Special Duties and Inter-Governmental Affairs
