@@,wdid,name,position,start,end
->,Q7530281,Hadi Sirika,Minister of Aviation,2019-08-22->2019-08-21,
->,Q75184824,Olamilekan Adegbite,Minister of Mines and Steel Development,2019-08-01->2019-08-21,
->,Q7370548,Rotimi Amaechi,Minister of Transportation,2019-08-21,2022-05-17->2022-05-16
->,Q7296120,Rauf Aregbesola,Minister of the Interior,2019-08-01->2019-08-21,
->,Q66309786,Suleiman Adamu Kazaure,Minister of Water Resources,2015-11-01->2019-08-21,
->,Q66309734,Sharon Ikeazor,Minister of State for Environment,2019-08-21,NULL->2022-07-06
->,Q65953957,Sunday Dare,Minister of Youth and Sports Development,2021-08-21->2019-08-21,
->,Q65938686,Ramatu Tijani Aliyu,Minister of State for the Federal Capital Territory,2019-08-19->2019-08-21,
->,Q62670421,Osagie Ehanire,Minister of Health,2019-08-01->2019-08-21,
->,Q62356,Babatunde Fashola,Minister of Works and Housing,2015-11-11->2019-08-21,
->,Q59829052,Mohammed Musa Bello,Minister of the Federal Capital Territory,2015-05-29->2019-08-21,
->,Q5529326,Gbemisola Ruqayyah Saraki,Minister of State for Transportation,2019-08-21,NULL->2022-07-06
->,Q47363740,Boss Mustapha,Secretary to the Government of the Federation,2017-11-01->2019-06-05,
->,Q4681916,Adeleke Mamora,Minister of State for Health,2019-08-21,NULL->2022-07-06
->,Q42559242,Zainab Ahmed,"Minister of Finance, Budget and National Planning",2018-09-14->2019-08-21,
->,Q41559149,Adamu Adamu,Minister of Education,2015-11-11->2019-08-21,
->,Q361567,Muhammadu Buhari,Minister of Petroleum Resources,2015-11-11->2019-08-21,
->,Q3510803,George Akume,Minister of Special Duties and Inter-governmental Affairs,2019-07-23->2019-08-21,
->,Q3510794,Chris Ngige,Nigerian Minister of Labour->Minister of Labour and Employment,2015-11-11->2019-08-21,
->,Q27830470,Pauline Tallen,Minister of Women Affairs and Social Development,2021-08-21->2019-08-21,
->,Q23714146,Abubakar Malami,Minister of Justice and Attorney General of the Federation,2015-11-11->2019-08-21,
->,Q21467394,Geoffrey Onyeama,Minister of Foreign Affairs,2015-01-01->2019-08-21,
->,Q21002307,Abba Kyari,Chief of Staff to the President,2015-08-27->2019-06-05,2020-04-17
->,Q19730927,Yemi Osinbajo,Vice President,2015-05-29->2019-05-29,
->,Q19561129,Lai Mohammed,Minister of Information and Culture,2015-11-01->2019-08-21,
->,Q18355928,Uchechukwu Sampson Ogah,Minister of State for Mines and Steel Development,2019-08-21,2022-05-13->2022-05
->,Q13655513,Ogbonnaya Onu,"Minister of Science, Technology and Innovation",2019-06-14->2019-08-21,2022-05-11
->,Q111079726,Mu'azu Sambo,Minister of State for Works and Housing,2021-12-24,NULL->2022-07-06
->,Q109661629,Abubakar D. Aliyu->Abubakar Aliyu,Minister of State for Works and Housing,2019-08-21,2021-09-01
->,Q109252006,Muhammad Mahmood Abubakar->Mohammad Mahmood Abubakar,Minister of Environment,2019-08-21,2021-09-10
->,Q109252006,Muhammad Mahmood Abubakar->Mohammad Mahmood Abubakar,Minister of Agriculture and Rural Development,2021-09-01,
->,Q107491747,Omotayo Alasoadura->Tayo Alasoadura,Minister of State for Niger Delta Affairs,2019-09-24,NULL->2022-05
->,Q107491747,Omotayo Alasoadura->Tayo Alasoadura,Minister of State for Labour and Employment,2019-08-21,2019-09-24
->,Q107453260,Clement Agba,Minister of State for Budget and National Planning,2021-08-21->2019-08-21,
->,Q101693651,Zubairu Dada,Minister of State for Foreign Affairs,2021-08-21->2019-08-21,
---,Q361567,Muhammadu Buhari,President of Nigeria,2015-05-29,
+++,Q66309734,Sharon Ikeazor,Minister of State for Niger Delta Affairs,2022-07-06,
+++,Q5583433,Goodluck Nanah Opiah,Minister of State for Education,2022-07-06,
+++,Q5529326,Gbemisola Ruqayyah Saraki,Minister of State for Mines and Steel Development,2022-07-06,
+++,Q4681916,Adeleke Mamora,"Minister of Science, Technology and Innovation",2022-07-06,
+++,Q361567,Muhammadu Buhari,President,2019-05-29,
+++,,Umar Ibrahim El-Yakub,Minister of State for Works and Housing,2022-07-06,
+++,,Ademola Adewole Adegoroye,Minister of State for Transportation,2022-07-06,
+++,,Mu'azu Sambo,Minister of Transportation,2022-07-06,
+++,,Henry Ikechukwu Ikoh,"Minister of State for Science, Technology and Innovation",2022-07-06,
+++,,Umana Okon Umana,Minister of Niger Delta Affairs,2022-07-06,
+++,,Ekumankama Joseph Nkama,Minister of State for Health,2022-07-06,
+++,,Odum Udi,Minister of State for Environment,2022-07-06,
