item,itemLabel,startDate,endDate
Q13638397,Ipoola Alani Akinrinade,1980-04,1981-10-02
Q5559362,Gibson Jalo,1981-10-02,1983-12-31
Q5291266,Domkat Bali,1984-01-01,1990-01-10
Q207942,Sani Abacha,1990-01-10,1993-11-17
Q3511673,Oladipo Diya,1993-11-17,1997-12-21
Q262346,Abdulsalami Abubakar,1997-12-21,1998-06-09
Q36489826,Al-Amin Daggash,1998-06-09,1999-05-29
Q89680786,Ibrahim Ogohi,1999-05-29,2003-06-27
Q4719782,Alexander Ogomudia,2003-06-27,2006-06-01
Q6776044,Martin Luther Agwai,2006-06-01,2007-05-25
Q7114962,Owoye Andrew Azazi,2007-05-25,2008-08-20
Q1420311,Paul Dike,2008-08-20,2010-09-08
Q16186835,Oluseyi Petinrin,2010-09-08,2012-10-05
Q16186714,Ola Ibrahim,2012-10-05,2014-01-16
Q18097420,Alex Badeh,2014-01-16,2015-07-13
Q20740520,Abayomi Gabriel Olonisakin,2015-07-13,2021-01-26
Q105084418,Lucky Irabor,2021-01-26,
