@@,statelabel,governor,governorlabel
->,Taraba State,Q24565884->Q109623460,Darius Ishaku
->,Plateau State,Q25038599,Simon Bako Lalong->Simon Lalong
->,Lagos->Lagos State,Q56678515,Babajide Sanwo-Olu
->,Kogi State,Q22295109,Yahaya Adoza Bello->Yahaya Bello
->,Jigawa State,Q20090052->Q96977619,Badaru Abubakar->Mohammed Badaru Abubakar
->,Delta State,Q4799876,Arthur Ifeanyi Okowa->Ifeanyi Okowa
->,Benue State,Q18354225,Samuel Ioraer Ortom->Samuel Ortom
->,Bauchi State,Q4849691,Bala Mohammed->Bala Muhammed
->,Adamawa State,Q61732418,Umaru Fintiri->Ahmadu Umaru Fintiri
->,Abia State,Q19958158,Victor Okezie Ikpeazu->Okezie Ikpeazu
